Plasmid,Sequence ID,Protein name,Column1
pCE1/2,K10C3.3,ZIG-1,
pCE3/4,F42F12.2,ZIG-2,
pCE5/6,C14F5.2,ZIG-3,
pCE7/8,C09C7.1,ZIG-4,
pCE9/10,Y48A6A.1,ZIG-5,
pCE11/12,T03G11.8,ZIG-6,
pCE13/14,F54D7.4,ZIG-7,
pCE15/16,Y39E4B.8,ZIG-8,
pCE17/18,Y119C1B.9,ZIG-9,
pCE19/20,T25D10.2b,ZIG-10,
pCE21/22,Y32G9A.8a,ZIG-11,
pCE23/24,M02D8.1,ZIG-12,
pCE25/26,B0507.1,/,
pCE27/28,C25E10.7,/,
pCE29/30,C25E10.8,/,
pCE31/32,C25E10.9a,SWM-1,
pCE33/34,C26C6.3,NAS-36,
pCE35/36,C34C6.3,/,
pCE37/38,C37C3.7,TXT-5,
pCE39/40,C44H4.1,LRON-1,
pCE41/42,C53B7.1,RIG-3,
pCE43/44,F09E8.2a,CRLD-1,
pCE45/46,F10F2.4,LRON-5,
pCE47/48,F11C7.2,/,
pCE49/50,F11C7.6a,/,
pCE51/52,F11C7.7,/,
pCE53/54,F14H12.3,/,
pCE55/56,F15B9.8,/,
pCE57/58,F20D1.7,IGLR-1,
pCE59/60,F21A3.3,/,
pCE61/62,F23H12.5,/,
pCE63/64,F35C11.7,/,
pCE65/66,F35D2.3,/,
pCE67/68,F39H12.4,IGCM-1,
pCE69/70,F40A3.2,/,
pCE71/72,F40E10.4,SLT-1,
pCE145/146,F40E10.4,SLT-1N,
pCE147/148,F40E10.4,SLT-1C,
pCE73/74,F41D9.3e,WRK-1,
pCE75/76,F48C5.1,IGEG-2,
pCE77/78,F58B3.8,DSL-5,
pCE79/80,F58G4.4,SDZ-23,
pCE81/82,F58H1.6,/,
pCE83/84,F59F3.1,VER-3,
pCE85/86,H02I12.4,DSL-6,
pCE87/88,H22K11.4a,SGCA-1,
pCE89/90,H30A04.1a,EAT-20,
pCE91/92,K03D10.1,KAL-1,
pCE93/94,K09C8.5,PXN-2,
pCE95/96,M03F4.6,/,
pCE97/98,R17.3b,SBSP-1,
pCE99/100,R151.5,DPY-31,
pCE101/102,T01D3.6a,/,
pCE103/104,T21B6.1,DGN-1,
pCE105/106,T22E7.1a,LRON-8,
pCE107/108,T25F10.3,/,
pCE109/110,W09G12.4,DSL-1,
pCE111/112,Y38F1A.9,OIG-2,
pCE113/114,Y41D4B.10a,DSL-3,
pCE115/116,Y73C8B.4,LAG-2,
pCE117/118,Y73E7A.8,/,
pCE119/120,ZK682.5,LRON-2,
pCE121/122,ZK1193.2,/,
pCE123/124,M88.6b,PAN-1,
pCE125/126,T05A1.3a,LRON-14,
pCE127/128,T23G11.6a,LRON-9,
pCE129/130,C17E7.10  ,IRLD-22,
pCE131/132,C41G6.6  ,IRLD-25,
pCE133/134,F02C9.4  ,IRLD-3,
pCE135/136,F11A5.7  ,IRLD-26,
pCE137/138,F13B12.5,INS-1,
pCE139/140,F54G8.1  ,IRLD-34,
pCE141/142,Y39A1A.7  ,LRON-10,
pCE143/144,Y53H1B.2,/,
pCE149/150,F41C6.1,UNC-6,
pCE151/152,F41C6.1,UNC-6S,
pCE153/154,C40C9.5e,NLG-1,
pCE155/156,F11A6.1a,KPC-1,
pCE157/158,F53B6.2a,MADD-4,
pCE159/160,K05F1.5,LECT-2,
pCE161/162,T01G9.3,DMA-1,
pCE163/164,W01F3.1a,MNR-1,
pCE165/166,K02E10.8b,SYG-1,
pCE167/168,C26G2.1a,SYG-2,
pCE169/170,T19B4.7,UNC-40,
pCE171/172,B0273.4a,UNC-5,
pCE173/174,C18F3.2c,SAX-7,
pCE175/176,B0457.1a,LAT-1,
pCE177/178,F15B9.7a,FMI-1,
pCE183/184,B0222.11,/,
pCE185/186,B0365.6,CLEC-41,
pCE187/188,B0416.2,/,
pCE189/190,C02B8.12,/,
pCE191/192,C04A11.4,ADM-2,
pCE193/194,C05D9.9b  ,/,
pCE195/196,C05D11.4,LET-756,
pCE197/198,C05D12.2,/,
pCE199/200,R03G5.3,IRLD-13,
pCE445/446,R03G5.3,IRLD-13-1,
pCE447/448,R03G5.3,IRLD-13-2,
pCE201/202,B0034.3a,CASY-1,
pCE203/204,B0286.2a,LAT-2,
pCE205/206,B0393.5,/,
pCE207/208,C01G6.8a,CAM-1,
pCE209/210,C02B10.3,/,
pCE211/212,C02B4.1,ADT-1,
pCE213/214,C02C6.3a,LRON-3,
pCE215/216,C04G2.11  ,IRLD-21,
pCE217/218,C07F11.1,TOL-1,
pCE219/220,C09D8.1a,PTP-3,
pCE221/222,C09E7.3,OIG-1,
pCE223/224,C09F9.2,/,
pCE225/226,C11H1.5,/,
pCE227/228,C16B8.4,/,
pCE229/230,C17D12.6a,SPE-9,
pCE231/232,C17G1.6a,NAS-37,
pCE233/234,C18E9.7,/,
pCE235/236,C23H4.8,/,
pCE237/238,C24G6.2a,HIR-1,
pCE239/240,C25G4.10a  ,IGDB-2,
pCE241/242,C27A7.8b,/,
pCE243/244,C27A7.9,/,
pCE245/246,C27B7.7a,/,
pCE247/248,C31E10.3  ,IRLD-24,
pCE249/250,C33F10.5d,RIG-6,
pCE251/252,ZK856.6,/,
pCE253/254,C36B7.5b,/,
pCE255/256,C36F7.4e,RIG-5,
pCE257/258,C37C3.6c,MIG-6,
pCE259/260,C41C4.3,LRON-4,
pCE261/262,C44H4.2,LET-4,
pCE263/264,C44H4.3,SYM-1,
pCE265/266,C46F4.3,/,
pCE267/268,C49C3.4a,/,
pCE269/270,C50H2.1b  ,FSHR-1,
pCE271/272,C50H2.3a,MEC-9,
pCE273/274,C53A5.13a,/,
pCE275/276,C54D1.5,LAM-2,
pCE277/278,C56E6.6,LRON-15,
pCE279/280,D1044.2b,DEX-1,
pCE281/282,D1044.3,PQN-25,
pCE283/284,D1073.1b  ,TRK-1,
pCE285/286,D2063.4a,IRLD-1,
pCE287/288,E01G6.1,/,
pCE289/290,F01F1.13a,MIG-21,
pCE291/292,F02A9.6,GLP-1,
pCE293/294,F02C12.4  ,IRLD-2,
pCE295/296,F02G3.1a,NCAM-1,
pCE297/298,F08B4.2ax,CDH-5,
pCE299/300,F08C6.1a,ADT-2,
pCE301/302,F09F9.4,/,
pCE303/304,F10E7.4,SPON-1,
pCE305/306,F11C7.4,CRB-1,
pCE307/308,F13G11.2  ,IRLD-4,
pCE309/310,F14B4.1,LRLP-1,
pCE311/312,F14D2.6  ,IRLD-5,
pCE313/314,F15B9.9,DSL-7,
pCE315/316,F15E11.2  ,IRLD-28,
pCE317/318,F15E11.4  ,IRLD-30,
pCE319/320,F15E11.5  ,IRLD-31,
pCE321/322,F15E11.11a,IRLD-32,
pCE323/324,F16B12.2,DSL-4,
pCE325/326,F18A1.1  ,/,
pCE327/328,F18F11.3d,CDH-8,
pCE329/330,F19C6.3,/,
pCE331/332,F20B10.1,NLR-1,
pCE333/334,F21A3.11,/,
pCE335/336,F22D3.4  ,/,
pCE337/338,F22D6.15  ,/,
pCE339/340,F25D7.5,/,
pCE341/342,F28C1.3a,/,
pCE343/344,F28D1.8,SPE-45,
pCE345/346,F28E10.2b,IGEG-1,
pCE347/348,F28H7.6  ,IRLD-6,
pCE349/350,F30H5.3,/,
pCE351/352,F31A9.3a,ARG-1,
pCE353/354,F31D5.4,MTH-2,
pCE355/356,F31D5.5,MTH-1,
pCE357/358,F33C8.1x,ATRN-1,
pCE359/360,F36H1.4f,LIN-3,
pCE361/362,F37E3.2,LRON-6,
pCE363/364,F38A5.11  ,IRLD-7,
pCE365/366,F38E9.2,NAS-39,
pCE367/368,F40E10.1,HCH-1,
pCE369/370,F40F11.4,/,
pCE371/372,F40G9.8  ,/,
pCE373/374,F41G3.12,AGR-1,
pCE375/376,F42G8.9  ,IRLD-8,
pCE377/378,F44G4.8a,DEP-1,
pCE379/380,F45C12.1  ,IRLD-33,
pCE381/382,F45C12.16  ,IRLD-9,
pCE383/384,F46G10.2,/,
pCE385/386,F53C11.9,/,
pCE387/388,F54F3.1a,NID-1,
pCE389/390,F55G1.13,EGAS-4,
pCE391/392,F56A4.9a,IRLD-35,
pCE393/394,F56D1.4b,CLR-1,
pCE395/396,F56H11.1a,FBL-1,
pCE397/398,F57C12.1,NAS-38,
pCE399/400,F58A3.2a,EGL-15,
pCE401/402,F58E1.4,IRLD-36,
pCE403/404,F58E1.7,IRLD-37,
pCE405/406,F58E6.13c,/,
pCE407/408,F59C12.1,CDH-9,
pCE409/410,F59D6.6  ,IRLD-10,
pCE411/412,F59F3.5,VER-4,
pCE413/414,H25K10.5  ,HPA-1,
pCE415/416,H25K10.6  ,IRLD-39,
pCE417/418,H42K12.3,/,
pCE419/420,K03A1.2a,LRON-7,
pCE421/422,K03B8.2,NAS-17,
pCE423/424,K04D7.4a,PTP-4,
pCE425/426,K04E7.3,NAS-33,
pCE427/428,K04F1.11  ,IRLD-43,
pCE429/430,K04F1.13  ,IRLD-44,
pCE431/432,K06A9.3,/,
pCE433/434,K07A12.2,EGG-6,
pCE435/436,K08D9.3a,APX-1,
pCE437/438,K09E2.4a,RIG-1,
pCE439/440,K12D9.12  ,IRLD-46,
pCE441/442,K12D9.14a,IRLD-12,
pCE443/444,M03A1.1b,VAB-1,
pCE449/450,R05G6.9,/,
pCE451/452,R05H10.6,CDH-7,
pCE453/454,R07G3.9,OIG-4,
pCE457/458,R107.8,LIN-12,
pCE459/460,R10H1.5,NAS-23,
pCE461/462,R11G1.1,/,
pCE463/464,SSSD1.1,IGCM-2,
pCE465/466,T01E8.1,/,
pCE467/468,T02C5.3b,IGCM-3,
pCE469/470,T05A6.4  ,IRLD-47,
pCE471/472,T05G5.1a,/,
pCE473/474,T06E4.5  ,/,
pCE475/476,T10E10.4,CHTB-3,
pCE477/478,T11F1.6  ,IRLD-49,
pCE479/480,T11F1.7a  ,IRLD-50,
pCE481/482,T11F1.8  ,HPA-2,
pCE483/484,T11F1.9  ,IRLD-51,
pCE485/486,T11F8.3a,RME-2,
pCE487/488,T12A7.2b,/,
pCE489/490,T13C2.6b,/,
pCE491/492,T17A3.1,VER-1,
pCE493/494,T17A3.10  ,ZIG-13,
pCE495/496,T19D12.6,/,
pCE497/498,T19D12.7  ,OIG-8,
pCE499/500,T19D2.1,ADT-3,
pCE501/502,T21B6.3,/,
pCE503/504,T21D12.9a,SMA-10,
pCE505/506,T22C8.2,CHHY-1,
pCE507/508,T22E5.3,IGDB-3,
pCE509/510,T26E4.1  ,IRLD-52,
pCE511/512,VC5.2,/,
pCE513/514,W03D8.6a,ITX-1,
pCE515/516,Y102A11A.8,IGCM-4,
pCE517/518,Y19D10A.7a,IRLD-53,
pCE519/520,Y19D10B.3  ,IRLD-15,
pCE521/522,Y19D10B.5  ,IRLD-16,
pCE523/524,Y19D10B.8  ,/,
pCE525/526,Y37A1B.8a ,IRLD-55,
pCE527/528,Y37A1B.9  ,IRLD-56,
pCE529/530,Y37D8A.13,UNC-71,
pCE531/532,Y37E11AL.6b,FMIL-1,
pCE533/534,Y37E11AR.7  ,/,
pCE535/536,Y37E3.13a,IGLR-3,
pCE537/538,Y38C1AA.9,/,
pCE539/540,Y46G5A.29,/,
pCE541/542,Y46H3D.4  ,IRLD-17,
pCE543/544,Y47H9C.4c,CED-1,
pCE545/546,Y51H4A.25b,/,
pCE547/548,Y54G2A.25a,LAD-2,
pCE549/550,Y54G2A.29,NDNF-1,
pCE551/552,Y55D5A.5x,DAF-2,
pCE553/554,Y57G11B.7  ,IRLD-18,
pCE555/556,Y57G11C.50  ,OIG-5,
pCE557/558,Y69H2.11,EGAS-1,
pCE559/560,Y69H2.12,EGAS-2,
pCE561/562,Y69H2.2,EGAS-3,
pCE563/564,Y69H2.3b,/,
pCE565/566,Y70C5C.3  ,IRLD-58,
pCE567/568,Y70G10A.2,/,
pCE569/570,Y71F9B.8a,LRON-11,
pCE571/572,Y73F8A.18  ,IRLD-59,
pCE573/574,Y75B8A.5,LRON-12,
pCE575/576,Y8A9A.2,/,
pCE577/578,ZC101.1,/,
pCE579/580,ZC13.4,MAB-7,
pCE581/582,ZC262.3a,IGLR-2,
pCE583/584,ZC374.2,/,
pCE585/586,ZC482.2  ,IRLD-60,
pCE587/588,ZC482.3  ,IRLD-19,
pCE589/590,ZC482.4  ,IRLD-61,
pCE591/592,ZC482.7  ,IRLD-20,
pCE593/594,ZC84.1,/,
pCE595/596,ZK1037.1  ,IRLD-62,
pCE597/598,ZK1067.1d,LET-23,
pCE599/600,ZK1193.3,/,
pCE601/602,ZK355.1,IRLD-63,
pCE603/604,ZK355.4,IRLD-64,
pCE605/606,ZK355.5,IRLD-65,
pCE607/608,ZK355.6,IRLD-66,
pCE609/610,ZK377.2a,SAX-3,
pCE611/612,ZK512.1  ,/,
pCE613/614,ZK994.3,PXN-1,
pCE615/616,C16D9.2,ROL-3,
pCE617/618,C45G7.5,CDH-10,
pCE619/620,C54G7.3c,LGX-1,
pCE621/622,F25H8.3b,GON-1,
pCE623/624,F28B4.3,/,
pCE625/626,F40F4.6b,IRG-7,
pCE627/628,F48E3.8x,CHTS-1,
pCE629/630,F53B7.5b,FIG-1,
pCE631/632,F55H12.3,/,
pCE633/634,K07D8.1,MUP-4,
pCE635/636,R08E3.2x,/,
pCE637/638,R10F2.1,CDH-1,
pCE639/640,R13F6.4e,TEN-1,
pCE641/642,T01D3.1b,/,
pCE643/644,T07H8.4a,MEC-1,
pCE645/646,T22A3.8,LAM-3,
pCE647/648,T25C12.3,/,
pCE649/650,W02B9.1b,HMR-1,
pCE651/652,W03F8.5a,LAM-1,
pCE653/654,Y42H9B.2,RIG-4,
pCE655/656,Y64G10A.7b,/,
pCE657/658,Y71D11A.1,CDH-12,
pCE659/660,ZC101.2a,UNC-52,
pCE661/662,ZK112.7,CDH-3,
pCE663/664,ZK783.1k,FBN-1,
pCE665/666,ZK945.9,LOV-1,
pCE667/668,C15A11.3,SOL-1,
pCE669/670,C29A12.4l,NRX-1,
pCE671/672,C29F3.7a,/,
pCE673/674,C32H11.1a,IRG-6,
pCE675/676,C34F6.10,/,
pCE677/678,C43F9.8,EFN-2,
pCE679/680,C44B12.2a,OST-1,
pCE681/682,C54C8.7,CLEC-11,
pCE683/684,D1037.2,SMP-2,
pCE685/686,F07G6.1x,DGN-3,
pCE687/688,F08G5.6,IRG-4,
pCE689/690,F08H9.6,CLEC-57,
pCE691/692,F10A3.4,/,
pCE693/694,F15A2.5,EFN-3,
pCE695/696,F27E5.4,PHG-1,
pCE697/698,F38G1.2,EGL-17,
pCE699/700,F43C9.4a,MIG-13,
pCE701/702,F55D10.3,GLIT-1,
pCE703/704,F56A11.3,EFN-4,
pCE705/706,F56C3.6,DGN-2,
pCE707/708,F58H1.4,FLR-2,
pCE709/710,F59D6.4  ,IRLD-38,
pCE711/712,K03E5.1,NETO-1,
pCE713/714,K04B12.1,PLX-2,
pCE715/716,K04F1.14b  ,IRLD-45,
pCE717/718,K05C4.11,SOL-2,
pCE719/720,T01C3.5  ,IRLD-14,
pCE721/722,T02C5.1a,/,
pCE723/724,T14E8.1a,SVH-2,
pCE725/726,T16H12.9,/,
pCE727/728,T22B11.1  ,/,
pCE729/730,T22H6.1,ILC-17.1,
pCE731/732,T23B12.8b,/,
pCE733/734,T28B8.2,INS-18,
pCE735/736,T28F3.8,/,
pCE737/738,Y37E11AR.6a,VAB-2,
pCE739/740,Y39A3CL.6,PVF-1,
pCE741/742,Y54E5B.1a,SMP-1,
pCE743/744,Y55F3AL.1b,PLX-1,
pCE745/746,Y69A2AR.31,/,
pCE747/748,Y71F9AR.1,BAM-2,
pCE749/750,Y71G12B.20a  ,MAB-20,
pCE751/752,Y76A2B.2,LRON-13,
pCE753/754,Y95B8A.6c,/,
pCE755/756,Y105E8A.7a,LEV-10,
pCE757/758,Y116F11B.1,DAF-28,
pCE759/760,ZK84.6,INS-6,
pCE761/762,Y71H2AM.10,TMEM-132,
pCE763/764,F49E11.5,SCL-10,